                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74054,                0.97339,                      1,                0.63971,             0.00023591,             0.00023591,             0.00023591
                      2,                0.18341,                0.99335,                      1,                0.57042,             0.00042699,             0.00042699,             0.00042699
                      3,                0.11928,                0.98226,                      1,                0.57679,             0.00057095,             0.00057095,             0.00057095
                      4,                0.07807,                0.99557,                      1,                0.55915,             0.00050194,             0.00050194,             0.00050194
                      5,                0.09855,                0.99557,                      1,                0.56062,             0.00043126,             0.00043126,             0.00043126
                      6,                0.05051,                0.99335,                      1,                 0.5589,             0.00036057,             0.00036057,             0.00036057
                      7,                0.04097,                0.99557,                      1,                0.55477,             0.00028988,             0.00028988,             0.00028988
                      8,                0.03636,                      1,                      1,                 0.5551,              0.0002192,              0.0002192,              0.0002192
                      9,                0.02085,                0.99778,                      1,                0.55329,             0.00014851,             0.00014851,             0.00014851
                     10,                0.02267,                0.99778,                      1,                0.55414,             7.7826e-05,             7.7826e-05,             7.7826e-05
